category,scientific_name,common_names,conservation_status
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,
Mammal,Bos bison,"American Bison, Bison",
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",
Mammal,Cervus elaphus,Wapiti Or Elk,
Mammal,Odocoileus virginianus,White-Tailed Deer,
Mammal,Sus scrofa,"Feral Hog, Wild Pig",
Mammal,Canis latrans,Coyote,Species of Concern
Mammal,Canis lupus,Gray Wolf,Endangered
Mammal,Canis rufus,Red Wolf,Endangered
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",
Mammal,Vulpes vulpes,Red Fox,
Mammal,Felis concolor,Mountain Lion,
Mammal,Felis silvestris,"Wild Cat, Wildcat",
Mammal,Lynx rufus,Bobcat,
Mammal,Puma concolor,Panther (Mountain Lion),
Mammal,Mephitis mephitis,Striped Skunk,
Mammal,Spilogale putorius,Eastern Spotted Skunk,
Mammal,Lontra canadensis,River Otter,
Mammal,Lutra canadensis,Northern River Otter,
Mammal,Martes pennanti,Fisher,
Mammal,Mustela,Mink (Or Weasel),
Mammal,Mustela frenata,Long-Tailed Weasel,
Mammal,Mustela nivalis,Least Weasel,
Mammal,Mustela vison,Mink,
Mammal,Procyon lotor,"Common Raccoon, Raccoon",
Mammal,Ursus americanus,Black Bear,
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",
Mammal,Lasiurus cinereus,Hoary Bat,
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern
Mammal,Myotis grisescens,Gray Myotis,Endangered
Mammal,Myotis keenii,Keen's Myotis,Species of Concern
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered
Mammal,Nycticeius humeralis,Evening Bat,
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,
Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",
Mammal,Lepus americanus,Snowshoe Hare,
Mammal,Sylvilagus floridanus,Eastern Cottontail,
Mammal,Sylvilagus obscurus,Appalachian Cottontail,
Mammal,Sylvilagus transitionalis,New England Cottontail,
Mammal,Equus caballus,"Feral Horse, Horse",
Mammal,Homo sapiens,"Human, Humans, Man",
Mammal,Castor canadensis,"American Beaver, Beaver",
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,
Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",
Mammal,Microtus pennsylvanicus,Meadow Vole,
Mammal,Microtus pinetorum,Woodland Vole,
Mammal,Neotoma floridana,Eastern Woodrat,
Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",
Mammal,Ochrotomys nuttalli,Golden Mouse,
Mammal,Ondatra zibethicus,Muskrat,
Mammal,Oryzomys palustris,Marsh Rice Rat,
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,
Mammal,Peromyscus gossypinus,Cotton Mouse,
Mammal,Peromyscus leucopus,White-Footed Mouse,
Mammal,Peromyscus maniculatus,Deer Mouse,
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,
Mammal,Synaptomys cooperi,Southern Bog Lemming,
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,
Mammal,Zapus hudsonius,Meadow Jumping Mouse,
Mammal,Erethizon dorsatum,"Common Porcupine, Porcupine",
Mammal,Mus musculus,House Mouse,
Mammal,Rattus norvegicus,Norway Rat,
Mammal,Rattus rattus,Black Rat,
Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered
Mammal,Glaucomys volans,Southern Flying Squirrel,
Mammal,Marmota monax,Woodchuck,
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",
Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",
Mammal,Tamias striatus,Eastern Chipmunk,
Mammal,Tamiasciurus hudsonicus,Red Squirrel,
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",
Mammal,Cryptotis parva,Least Shrew,
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew",
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",
Mammal,Sorex fumeus,Smoky Shrew,
Mammal,Sorex hoyi,Pygmy Shrew,
Mammal,Sorex longirostris,Southeastern Shrew,
Mammal,Sorex palustris,Water Shrew,
Mammal,Condylura cristata,Star-Nosed Mole,
Mammal,Parascalops breweri,Hairy-Tailed Mole,
Mammal,Scalopus aquaticus,Eastern Mole,
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern
Bird,Accipiter gentilis,Northern Goshawk,
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern
Bird,Buteo jamaicensis,Red-Tailed Hawk,
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern
Bird,Buteo platypterus,Broad-Winged Hawk,
Bird,Circus cyaneus,Northern Harrier,Species of Concern
Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery
Bird,Ictinia mississippiensis,Mississippi Kite,
Bird,Cathartes aura,Turkey Vulture,Species of Concern
Bird,Coragyps atratus,Black Vulture,
Bird,Pandion haliaetus,Osprey,Species of Concern
Bird,Aix sponsa,Wood Duck,
Bird,Anas acuta,Northern Pintail,
Bird,Anas americana,American Wigeon,
Bird,Anas clypeata,Northern Shoveler,
Bird,Anas crecca,Green-Winged Teal,
Bird,Anas discors,Blue-Winged Teal,
Bird,Anas platyrhynchos,Mallard,
Bird,Anas rubripes,American Black Duck,
Bird,Aythya affinis,Lesser Scaup,Species of Concern
Bird,Aythya americana,Redhead,
Bird,Aythya collaris,Ring-Necked Duck,
Bird,Branta bernicla,Brant,
Bird,Branta canadensis,Canada Goose,
Bird,Bucephala albeola,Bufflehead,
Bird,Bucephala clangula,Common Goldeneye,
Bird,Chen caerulescens,Snow Goose,
Bird,Histrionicus histrionicus,Harlequin Duck,
Bird,Lophodytes cucullatus,Hooded Merganser,
Bird,Melanitta deglandi,White-Winged Scoter,
Bird,Melanitta fusca,White-Winged Scoter,
Bird,Melanitta nigra,Black Scoter,
Bird,Mergus merganser,Common Merganser,
Bird,Mergus serrator,Red-Breasted Merganser,
Bird,Oxyura jamaicensis,Ruddy Duck,
Bird,Chaetura pelagica,Chimney Swift,
Bird,Archilochus colubris,Ruby-Throated Hummingbird,
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,
Bird,Caprimulgus vociferus,Whip-Poor-Will,
